question,correct,difficulty_level,time,quiz_area,option_0,option_1,option_2,option_3
Yì fʉ̌' mʉ̀nzhwíé mbɑ̄ mɑ́ ...,Nkwāā/Nkwɑ̄ɑ̄ mǐ,3,20,Zhíghə̀ə̄lɑ̄',Nkwāā/Nkwɑ̄ɑ̄ mǐ,Ndhī zǐ,Nǒktū ī,Nɑ̄h mǐ
" Ngɑ̌ mɑ́ tɑ̀' ntīē zénshì mɑ̀ pó nák lɑ́' Kǒcɑ̀';  Ǹ dɑ̀fhʉ̌  mɑ̀ wú pɑ̀Nkwɑ̀'. Pó mbɑ̄ tɑ̀ mbū' ā,  pʉ̀ yì pó kūɑ̄ lɑ́ pātnjàm mɑ̄nhɑ̄ ntɑ́h mbí pʉ̀nòk",Kǎ'nkwɑ̀',3,20,Zhíghə̀ə̄lɑ̄',Kǎ'nkwɑ̀',Mɑ̂njwè',Nì,Pààngòp
"Pó ndáh ā ndə̄ə̄ tɑ̀' mbè' nɑ̄', m̀ mbāt mbɑ̄ ntám tú wèn",Nzhʉ̀',1,20,Zhíghə̀ə̄lɑ̄',Nzhʉ̀',Zúsōh,Ntʉ̀ntāā,Mɑ̄ndāk
"Fhʉ̄ fɑ́hnzɑ̄ ǹ kɑ̀' dīē, ngɑ̌ púá, nɑ̄h mǎ mɑ̀nzhʉ̄ɑ̄' ndǒk ì. Tɑ̀' wú zɑ́h à. Kɑ́ bɑ́ ɑ̄ ?",Lōh,1,20,Zhíghə̀ə̄lɑ̄',Lōh,Nshǐnɑ̄h,Sūā,Ndʉ̀ɑ̀
Pó mbát ncēh pɑ̀mfhʉ́sīē yì pō lɑ̀fɑ̌' mbè' mfɑ̌' sīècɑ̄' tɑ̄ ngénɑ́ lɑ́ mɑ́ kɑ́ ?,Pɑ̀mɑ́ngátnzhʉ̀',1,20,Zhíghə̀ə̄lɑ̄',Pɑ̀mɑ́ngátnzhʉ̀',Pɑ̀ndàm,Pɑ̀sīē,Pɑ̀ndāk
Pó ncēh tɑ̀' pìh mɑ̀ yáá ghʉ̌ ndɑ̌' mbàh mbʉ́ɑ́ mɑ́ kɑ́ ?,Ndèndèè pìh,2,20,Zhíghə̀ə̄lɑ̄',Ndèndèè pìh,Nkhʉ̀,"Nkwē', Nkwā', Nkwā'lā'",Pǐh ngòò
Nù sǐ' nkwéé mbóm bɑ̄. Ngwá' ntōm kɑ́ bɑ̄ pōk ?,Mvāt,2,20,Zhíghə̀ə̄lɑ̄',Mvāt,Mbɑ̀ɑ̀,Nshì,Sōh
Mɑ̀ lāhā tɑ́ pó ncēh yóm ngòfāt mɑ̀ pó kā',Ghà',2,20,Zhíghə̀ə̄lɑ̄',Ghà',Ngòfât nkēē,Tù',Kɑ̄lāk
Pó mmɑ́' wú ntām ndáh nkwè' nthʉ̄'/nsū',Zàk,1,20,Zhíghə̀ə̄lɑ̄',Zàk,Nɑ̄h,Lòh,Nzhʉ̀'
"Ngɑ̌ mɑ́ tɑ̀' tə́ə́thʉ̄. Ngɑ̌ ntōm ntám tɑ̀' kwàà mɑ̀ yáá ghʉ̌ lěn yâ'hwīē. Pō sǐ' mfāt lā sì lə̄ə̄ bɑ̄. Pó mbɑ̄ tɑ̀ nkɑ́' ā m̀ mbɑ̄ ngàmngàm yāā pɑ́' ngàm mbà' lɑ́, tɑ́' ghɑ̄' zǎ mɑ̀mbūāsī. Mbɑ̀ɑ̄ nā á mbɑ̄ fɑ̄htām.",Ngāh,2,20,Zhíghə̀ə̄lɑ̄',Ngāh,Mɑ̂mbʉ̀ɑ̀',Mbímbīātlɑ̄,Mbhʉ̄
"Pó mbɑ̄ tɑ̀ nshwīāh/mfúá mōh, ń dɑ̀ nʉ́ɑ́ sì kō', tɑ̀mmíéwǎ', ntìè' yì nshwī kɑ̀' yōm lɑ́ .",Ndhímōh,1,20,Zhíghə̀ə̄lɑ̄',Ndhímōh,Vhʉ́mōh,Nkɑ̀',Ngʉ̀ɑ̀'mōh
Mbìyá' mbɑ̄ tɑ̀ ntōm ntám ghɑ́' yāā ngwǎ' tāā pō cēh yāā mɑ́ kɑ́ ?,Kɑ̄lāk,2,20,Zhíghə̀ə̄lɑ̄',Kɑ̄lāk,Ŋà',Lōh,Sʉ̀sʉ̀ɑ̀ mbìyā'
Yàā wúzɑ̄ tɑ́ pó nnēē ndə̄ə̄ ntìè' yì mʉ̀nzhwíé nzī lɑ́ ɑ̄ ?,Nkùɑ̀,1,20,Zhíghə̀ə̄lɑ̄',Nkùɑ̀,Pēē,Lʉ̀ɑ̀',Kū'
Wěn mbɑ̄ tɑ̀ ngén mɑ̄ghɑ̀ɑ̀ yàā wúzɑ̄ tɑ́ pō lēn mɑ́ á ghèn nzɑ̄ ɑ̄ ?,Khʉ̀khʉ̄ɑ̄,1,20,Zhíghə̀ə̄lɑ̄',Khʉ̀khʉ̄ɑ̄,Njò',Kwéndʉ̄ɑ̄,Nsā'
Yàā pǎh mfʉ̀'nā wèn bɑ́ mbɑ̄ tɑ̀ ndēē mbè' nù tōm mbú ì ?,Zīī,1,20,Zhíghə̀ə̄lɑ̄',Zīī,Nɑ̄h,Tʉ̄tē',Vàm
"Ǒ mɑ̄nzí wèn sì à zhī, ɑ́ yēē wū yì ǎ mɑ̀ngʉ́ lɑ́ sì à zhī pō lēn mɑ́ ǒ mɑ̀ ____ ī",Nnɑ̄',1,20,Zhíghə̀ə̄lɑ̄',Nnɑ̄',Njīī,Nnák,Nté'sí
Pʉ̀ tɑ̀ njə́ə́ ndī' shwìī wūɑ̄kɔ̌ njá' cēh mɑ́ zén wɑ̄ ?,"Mɑ̄, Mɑ̄vǒ",1,20,Zhíghə̀ə̄lɑ̄',"Mɑ̄, Mɑ̄vǒ",Mbɑ̄',Lōh,Nzhwīè wèn
"Ǹ sǐ' mɑ̄nnák bɑ̄, mɑ̀ pó ncēh ā mɑ́ fōh. Ngɑ̌ mbɑ̄ tɑ̀ njā'nthʉ̄, nnám nthʉ̄, nnám mvēnɑ̀. ",Fùfùà,1,20,Zhíghə̀ə̄lɑ̄',Fùfùà,Ghǎ'mbàk,Mbàk,Nzhì
Pó ndáh bé njâ'wū lè nté'sí zʉ̌' wū,Hɑ̄?,1,20,Zhíghə̀ə̄lɑ̄',Hɑ̄?,Kɑ́?,Mvàk lāhā?,Sēnɑ̄?
"Pó nŋāmsī wèn yə̄ə̄, à zēnshì tɑ̀ ngʉ́ lāhā ?",Tɑ̀ mfám khù í tìì,1,20,Zhíghə̀ə̄lɑ̄',Tɑ̀ mfám khù í tìì,Tɑ̀ nzhwíé,Tɑ̀ ndʉ̄',Tɑ̀ nní
Nthí mǒ' vīāt ...,Wèn dīē nzhìè,1,20,Zhíghə̀ə̄lɑ̄',Wèn dīē nzhìè,Wèn zhʉ̄ɑ̀,Wèn cā'sî,Wèn kūɑ̄
"À sī mɑ̀mbēn mɑ́ á mɑ̀ndīē bɑ̄, tɑ́ mɑ̀ nɑ̄h mǐ mɑ̄ nzhʉ̄ɑ̄' sì à zhī, ǎ kòndīē tū ī mɑ̄mbén à mɑ̄ndʉ̄ɑ̄'sī mɑ̄njómɑ́ , sì' fà'á. Ǎ mɑ̀... [Ǒ kònsī nshʉ̄ɑ̀ kʉ̀ʉ̀/zàmɑ̀ mɑ̄ ...]","Nŋʉ̄'lōh, Nnī'lōh",1,20,Zhíghə̀ə̄lɑ̄',"Nŋʉ̄'lōh, Nnī'lōh",Ngóó,Nnɑ̄' lōh,Ngát lōh
Ǒ mɑ̄ncāk làh nzhī wū ngʉ́ lāhā ?,Nté'sí,1,20,Zhíghə̀ə̄lɑ̄',Nté'sí,Nsōk,Ngə́ə́ nù,Ntə̄ə̄sī
"Làh nsēē ndèè, lɑ̄  nsēē fʉ́ʉ́  ndɑ́'sí mɑ́ kɑ́ ?",Làh ngʉ́ mbè' zīī,3,20,Zhíghə̀ə̄lɑ̄',Làh ngʉ́ mbè' zīī,Làh nzhʉ́ɑ́,Làh ndə̄ə̄ndʉ̄ɑ̄,Làh nkhʉ́ɑ́ lə́ə́ndʉ̄ɑ̄
Ǒ mɑ̄njók nə̀ə̀ pʉ́ɑ́ nkwéé ...,nsə̄ə̄,2,20,Zhíghə̀ə̄lɑ̄',nsə̄ə̄,Ngóó,Ntām,Mfāt
"Ò bɑ̌ tɑ̀ nkhʉ́ɑ́ndʉ̄ɑ̄ yə̄ə̄, lɑ̄  ngʉ́ sʉ̀ɑ̄mfʉ̀'nā mɑ̀ nshǐ ntóm nɑ́ ò. Pó ncēh báá nshì lɑ́ mɑ́ kɑ́ ?",Zì',1,20,Zhíghə̀ə̄lɑ̄',Zì',Nsìnsìì,Ntīē,Nòk
Fǎk ndɑ́'sí mɑ́ làh nkhú wū ndáh nsɑ́' ngǎk wèn. Yáá mbát ndɑ́'sí mɑ́ kɑ́ ?,"1. Khʉ̀ʉ̀, mʉ̄ɑ̄ mbòk. 2. Zʉ̌' làh mmɑ́' njòò",3,20,Zhíghə̀ə̄lɑ̄',"1. Khʉ̀ʉ̀, mʉ̄ɑ̄ mbòk. 2. Zʉ̌' làh mmɑ́' njòò","Zʉ̌' ncà', zʉ̌' kàmɑ̀",Nsə̄ə̄,Ndʉ̄ɑ̀ntū
Mɑ̀ lāhā tɑ́ pó ncēh wū yì yáá mbɑ̄ ntám ndàk mɑ̀ mbūā lɑ́ ɑ̄ ? Pó nsíé yāā ndáh nkwāt mbɑ̀ njâ' nshʉ̀ɑ̀sòm,"Vâk, Vʉ̀vâk",2,20,Zhíghə̀ə̄lɑ̄',"Vâk, Vʉ̀vâk",Ŋwɑ̄',Mbìyā',Nsə̀ə̀
"Ngɑ̌ mɑ́ ngòp ndàk, pó nsíé ā, nzʉ́', ndáh ā nkwāt nshwī, ndáh ā ntō mbɑ̀ làk",Ndʉ̀ɑ̀,2,20,Zhíghə̀ə̄lɑ̄',Ndʉ̀ɑ̀,"Vâk, Vʉ̀vâk",Nzī,Nkhhʉ̀
"Pó ndáh ā nkwāt mbɑ̀kɑ́ lɑ̄. Mbɑ̀ tū, mbɑ̀ pʉ̀ɑ̀, mbɑ̀ mbū'",Nkhʉ̀,1,20,Zhíghə̀ə̄lɑ̄',Nkhʉ̀,Pīē,Ndàk,Nkɑ̀'
Mɑ̄ ā nzhwīē á mɑ́ ,Ngām à,1,20,Zhíghə̀ə̄lɑ̄',Ngām à,Nzhwīē à,Mɑ̄lū à,Nzhwīē mbɑ̄' ō
Nshì yì pó mmɑ́' ntám ndʉ̄' tɑ́ ndʉ̄' mɑ̄nnák lɑ́ pó ncēh yāā mɑ́ ...,Nshǐmōh,1,20,Zhíghə̀ə̄lɑ̄',Nshǐmōh,Nshǐnjɑ̀',Nshǐŋwɑ̀'nì,Nshǐvɑ̀h
Ngɑ̌ mɑ́ tɑ̀' wū mɑ̀ pó nnēē ntām nkòó wèn ntìè' yì ǎ ghʉ̌ tɑ̀' wū sìpě' ntám lɑ̄',Vhʉ̄,2,20,Zhíghə̀ə̄lɑ̄',Vhʉ̄,Lòh,Ncɔ̀pùh,Kāb
Pó mbát ncēh Nshīē'kò mɑ́ kɑ́ ?,Nzêngòò,2,20,Zhíghə̀ə̄lɑ̄',Nzêngòò,Nzîngū,Nkɑ́ɑ́tēē,Nsû'kwɑ̀
 Pó mbát ncēh Nthʉ̄'ntāā/Sū'ntāā mɑ́ kɑ́ ?,Líé'ngā',2,20,Zhíghə̀ə̄lɑ̄',Líé'ngā',Nzîngū,Nshwīè'kò,Ndòmvēn
Pō sǐ' nzʉ̄'nʉ̀ɑ̀ béé líé'nzɑ̄ lè bɑ̄,Líé'nzhì,2,20,Zhíghə̀ə̄lɑ̄',Líé'nzhì,Líé'ngā',Líé'nkwè',Líé' mfɑ̀'
Wɑ̄ bɑ́ ntōk fʉ̀ ?,Fhʉ̀fhʉ̀,3,20,Zhíghə̀ə̄lɑ̄',Fhʉ̀fhʉ̀,Nzɑ̂ngwàà,Nzɑ̂mbʉ̂',Sɔ̀nzhwìè
Ngɑ̌ mɑ́ tɑ̀' njâ'wū mɑ̀ pó ndáh ā nkwéé wū. Ngɑ̌ nnēē nnák pí pí,Mbɑ̀,1,20,Zhíghə̀ə̄lɑ̄',Mbɑ̀,Mbâ',Ndǒk,Sì
Pó njéh pí ...,Nzī,1,20,Zhíghə̀ə̄lɑ̄',Nzī,Lām,Nsè',Nɑ̄h
Pó nnák pí ...,Khù,1,20,Zhíghə̀ə̄lɑ̄',Khù,Tū,Nshùtèn,Nkàb
